category,app_count,total_installs,avg_rating,total_rating_count
Tools,143988,71440471479,2.35,472780187.0
Communication,48167,43216594754,2.12,470076617.0
Productivity,79698,28314053128,1.94,150291751.0
Photography,35552,18998958963,2.52,213045454.0
Video Players & Editors,14015,18591154209,2.9,264972700.0
Action,27555,17400377388,2.71,558142176.0
Social,44734,17165995366,2.4,470372745.0
Entertainment,138276,17108505414,2.44,224992079.0
Casual,50813,16837071701,2.43,359403300.0
Arcade,53792,14501333037,2.45,245085677.0
Music & Audio,154906,14239412474,2.23,195760921.0
Simulation,23282,11690020565,3.21,230768284.0
Puzzle,51168,10796428127,2.69,210992117.0
Travel & Local,67288,9726223545,1.92,73349398.0
Personalization,89210,9252977243,2.76,123449355.0
